sub_id	concern_1	concern_2	concern_3	concern_4	pol	gender_c	condition_c
112	6	6	6	5	1	-0.5	-0.5
113	1	1	1	4	3.5	-0.5	-0.5
114	6	7	7	7	2	-0.5	-0.5
115	5	5	5	4	2	-0.5	-0.5
116	5	6	4	6	3	-0.5	-0.5
117	1	1	1	4	4	-0.5	-0.5
118	1	6	6	7	2	-0.5	-0.5
119	4	3	4	4	3.5	-0.5	-0.5
120	5	2	3	6	2	-0.5	-0.5
121	2	4	3	5	3	-0.5	-0.5
122	1	2	4	5	3	-0.5	-0.5
123	5	5	5	5	2	-0.5	-0.5
124	2	6	6	6	4	-0.5	-0.5
125	7	7	5	7	3	0.5	-0.5
126	3	3	3	5	2.5	0.5	-0.5
127	6	6	6	2	3	0.5	0.5
128	6	7	6	7	2.5	0.5	0.5
129	7	6	6	5	1.5	0.5	0.5
130	3	6	6	6	3	0.5	0.5
131	6	6	5	6	2	0.5	0.5
132	7	7	7	7	1	0.5	0.5
133	7	7	7	7	1.5	0.5	0.5
134	1	1	1	7	2	0.5	0.5
135	5	6	4	5	1	0.5	0.5
136	4	4	5	5	1.5	0.5	0.5
137	6	5	5	3	NA	0.5	0.5
138	7	7	7	7	1	0.5	0.5
139	5	4	6	3	2.5	0.5	0.5
140	7	7	7	6	1	0.5	0.5
141	3	3	4	6	4	0.5	0.5
142	7	7	7	7	1	0.5	0.5
143	5	NA	5	7	1.5	0.5	0.5
144	5	7	4	7	2	0.5	0.5
145	5	3	3	5	3	0.5	0.5
146	6	7	7	7	1	0.5	0.5
147	5	5	5	3	1.5	-0.5	0.5
148	7	7	7	7	2	-0.5	0.5
149	7	7	7	7	1	0.5	0.5
150	7	6	6	6	2	-0.5	0.5
151	4	6	7	1	2	0.5	0.5
152	6	6	6	5	2.5	-0.5	0.5
153	4	7	7	7	3	-0.5	0.5
154	5	6	6	7	4	0.5	0.5
155	7	5	5	5	3	0.5	0.5
156	2	1	1	2	3	-0.5	0.5
157	6	7	7	6	1	-0.5	0.5
158	7	7	7	7	1	0.5	0.5
159	4	4	4	5	3	0.5	0.5
160	5	6	6	5	1	-0.5	0.5
161	4	1	1	7	5	-0.5	0.5
162	5	4	4	7	2.5	0.5	0.5
163	5	1	4	7	3	0.5	-0.5
164	7	7	7	7	1	-0.5	-0.5
165	5	7	7	7	1.5	0.5	-0.5
166	7	7	6	7	2.5	0.5	-0.5
167	7	7	6	6	2	0.5	-0.5
168	7	7	7	7	1	0.5	-0.5
169	7	7	7	7	1	-0.5	0.5
170	7	7	7	7	1	0.5	0.5
171	6	7	7	7	1	0.5	0.5
172	7	7	7	7	1	0.5	0.5
173	1	7	1	7	1	-0.5	-0.5
174	1	1	1	1	3	-0.5	-0.5
175	7	7	7	7	2	-0.5	-0.5
176	5	6	5	6	1	-0.5	-0.5
177	5	6	5	4	3	-0.5	-0.5
178	5	2	1	5	3.5	-0.5	0.5
179	6	5	5	7	1.5	NA	0.5
180	4	5	6	5	3	-0.5	0.5
181	7	4	3	5	5	-0.5	0.5
182	1	7	6	7	1.5	-0.5	0.5
183	2	3	5	5	3	-0.5	0.5
184	7	7	7	1	2	0.5	0.5
185	3	4	5	5	2.5	-0.5	0.5
186	7	6	6	6	2	-0.5	0.5
187	6	5	3	7	3.5	-0.5	0.5
188	5	6	6	2	2	-0.5	0.5
189	5	5	5	6	3.5	-0.5	0.5
190	6	6	5	5	3.5	-0.5	0.5
191	7	7	5	7	4	-0.5	0.5
192	5	5	5	6	2	-0.5	0.5
193	2	4	4	4	3.5	-0.5	0.5
194	1	6	6	5	3.5	0.5	0.5
195	7	7	6	7	2	-0.5	0.5
196	7	7	7	7	1.5	0.5	0.5
197	4	3	3	5	3.5	0.5	0.5
198	3	3	2	7	3.5	-0.5	0.5
199	5	5	3	5	2	-0.5	0.5
200	6	5	5	4	3.5	0.5	0.5
201	3	4	5	5	4	-0.5	0.5
202	7	6	7	5	3.5	-0.5	0.5
203	5	4	4	5	2.5	-0.5	0.5
204	6	6	6	6	2.5	-0.5	0.5
205	1	2	2	7	4	-0.5	0.5
206	5	4	5	6	3	-0.5	0.5
207	2	6	6	6	3.5	0.5	0.5
208	6	5	5	5	3.5	-0.5	0.5
209	4	3	2	5	5	-0.5	0.5
210	3	6	6	4	2	0.5	0.5
211	6	6	6	6	2	-0.5	0.5
212	3	5	4	4	3	0.5	0.5
213	2	6	6	7	3	0.5	0.5
214	6	6	6	6	1	-0.5	-0.5
215	7	7	7	7	1.5	0.5	-0.5
216	6	7	7	7	1.5	-0.5	-0.5
217	6	4	5	6	1.5	-0.5	-0.5
218	2	2	2	5	5	-0.5	-0.5
219	5	5	5	5	3	0.5	-0.5
220	7	7	6	7	3	0.5	-0.5
221	6	4	5	6	3	-0.5	-0.5
222	7	6	6	5	2.5	-0.5	-0.5
223	7	7	7	7	1.5	0.5	0.5
224	5	4	4	6	3	0.5	0.5
225	7	7	7	7	1	0.5	0.5
226	6	7	7	7	2.5	0.5	0.5
227	5	4	4	4	3	-0.5	0.5
228	6	7	6	7	2	-0.5	0.5
229	6	7	7	7	1.5	0.5	0.5
230	7	7	7	7	1.5	-0.5	0.5
231	7	7	7	7	1.5	0.5	0.5
232	7	7	7	6	1.5	0.5	0.5
233	7	7	7	7	1.5	0.5	0.5
234	6	6	6	7	1.5	-0.5	0.5
235	2	6	4	6	1.5	0.5	0.5
236	7	7	6	7	3.5	-0.5	0.5
237	7	7	7	7	2	-0.5	0.5
238	5	5	4	6	3	-0.5	0.5
239	7	7	7	7	2	0.5	0.5
240	6	6	6	7	3.5	0.5	0.5
241	6	6	6	6	1.5	0.5	0.5
242	7	7	6	7	2	0.5	0.5
243	7	7	7	7	2.5	0.5	0.5
244	5	4	4	4	3.5	-0.5	0.5
245	7	4	3	7	4	0.5	0.5
247	4	5	5	5	3	0.5	0.5
248	7	NA	7	7	1	0.5	0.5
249	NA	5	5	6	1.5	-0.5	0.5
250	5	5	5	4	3	-0.5	0.5
251	3	5	5	5	1.5	0.5	0.5
252	7	7	7	7	2	-0.5	0.5
253	5	6	3	5	3	0.5	0.5
254	7	7	7	NA	1.5	0.5	0.5
255	5	3	5	7	3	-0.5	0.5
256	2	2	2	5	3	0.5	0.5
257	3	3	3	5	2	-0.5	0.5
258	4	6	6	6	2.5	-0.5	0.5
259	2	3	4	4	4.5	-0.5	0.5
260	6	7	7	7	2.5	-0.5	0.5
261	7	6	6	6	2.5	-0.5	0.5
262	6	6	7	7	1.5	0.5	0.5
263	4	4	4	5	4	-0.5	0.5
264	5	6	6	5	3	0.5	0.5
265	2	6	5	5	3	-0.5	0.5
266	6	6	2	6	1.5	0.5	0.5
267	1	1	1	1	2.5	-0.5	0.5
268	4	1	1	3	2	-0.5	0.5
269	7	7	7	6	2.5	-0.5	0.5
270	6	7	7	7	1	0.5	0.5
271	5	6	6	6	2	0.5	0.5
272	4	3	3	3	2	0.5	0.5
273	2	2	2	3	4	0.5	0.5
274	5	7	7	7	2	0.5	0.5
275	5	3	3	4	3.5	-0.5	-0.5
276	5	6	6	5	2	-0.5	-0.5
277	2	3	3	7	4.5	-0.5	-0.5
278	7	7	7	7	2	0.5	-0.5
279	1	7	7	7	2	-0.5	-0.5
280	5	3	3	3	4	-0.5	-0.5
281	4	7	7	7	2.5	0.5	-0.5
282	5	5	5	5	2.5	-0.5	-0.5
283	6	7	7	5	4.5	0.5	-0.5
284	3	5	5	4	3	-0.5	-0.5
285	5	5	3	7	3	-0.5	-0.5
286	4	4	2	4	3.5	-0.5	-0.5
287	7	7	7	1	2	-0.5	-0.5
288	7	7	7	7	1	-0.5	-0.5
289	3	2	3	3	4	0.5	-0.5
290	7	7	7	7	2	0.5	-0.5
291	7	7	7	7	2.5	0.5	-0.5
292	6	6	3	5	2	0.5	-0.5
293	5	5	5	3	3	-0.5	-0.5
294	4	6	4	5	3	0.5	-0.5
295	7	7	7	7	3.5	0.5	-0.5
296	6	5	6	2	4	-0.5	-0.5
297	4	6	4	7	3	0.5	-0.5
298	4	4	5	5	2	0.5	-0.5
299	4	3	1	2	4.5	NA	-0.5
300	6	1	1	2	3.5	-0.5	-0.5
301	5	5	6	6	2	0.5	-0.5
302	2	7	6	7	2	-0.5	-0.5
303	4	3	4	4	4	-0.5	-0.5
304	3	6	5	6	3	0.5	-0.5
305	4	3	2	5	4	-0.5	-0.5
306	3	3	1	4	5	-0.5	-0.5
307	6	2	3	5	3	-0.5	-0.5
308	1	1	1	2	4	-0.5	-0.5
309	6	6	6	5	2	-0.5	-0.5
310	5	5	5	6	1.5	0.5	-0.5
311	6	6	6	6	4.5	0.5	-0.5
312	3	4	4	5	3	0.5	-0.5
313	1	1	1	7	3	-0.5	-0.5
314	6	6	6	5	3.5	-0.5	-0.5
315	4	5	3	3	2.5	-0.5	-0.5
316	5	4	3	6	5	-0.5	-0.5
317	7	7	7	7	3	0.5	-0.5
318	1	2	3	6	3.5	-0.5	-0.5
319	2	3	1	2	4.5	-0.5	-0.5
320	7	7	6	7	3.5	-0.5	-0.5
321	2	5	4	3	4	-0.5	-0.5
322	7	7	6	7	2.5	-0.5	-0.5
323	1	1	1	4	4.5	-0.5	-0.5
324	7	7	7	6	4	-0.5	-0.5
325	5	7	6	7	3	-0.5	-0.5
326	5	4	5	4	3	-0.5	-0.5
327	2	5	3	5	3	0.5	-0.5
328	7	6	6	7	3	-0.5	-0.5
329	5	5	5	4	3	0.5	-0.5
330	5	5	5	6	3	0.5	-0.5
331	4	4	1	4	2.5	-0.5	-0.5
332	7	7	7	7	3	-0.5	-0.5
333	4	4	NA	5	5	-0.5	-0.5
334	7	7	7	7	2.5	0.5	-0.5
335	5	5	4	3	4	-0.5	-0.5
336	5	6	6	6	3	-0.5	-0.5
337	5	4	4	4	3	-0.5	-0.5
338	5	6	4	2	3	-0.5	-0.5
339	4	4	3	4	4	0.5	-0.5
340	5	3	4	5	3.5	-0.5	-0.5
341	6	7	7	7	3.5	0.5	-0.5
342	7	5	3	7	2.5	-0.5	-0.5
343	4	3	3	5	4	-0.5	-0.5
344	4	3	4	4	4.5	-0.5	-0.5
345	5	6	5	3	NA	0.5	-0.5
346	3	5	5	6	4.5	-0.5	-0.5
347	5	5	4	3	4	0.5	-0.5
348	6	7	7	7	3	-0.5	0.5
349	1	3	2	4	2.5	-0.5	0.5
350	7	7	7	7	1	-0.5	0.5
351	6	6	6	7	1.5	0.5	0.5
352	5	5	6	5	NA	-0.5	0.5
353	4	4	4	4	3	0.5	-0.5
354	6	6	6	6	2	0.5	-0.5
355	4	5	5	6	3	0.5	-0.5
356	6	6	7	7	1	0.5	-0.5
357	7	7	7	7	1.5	0.5	-0.5
358	7	7	7	7	3	0.5	-0.5
359	6	7	7	7	1.5	-0.5	-0.5
360	7	7	7	6	2	0.5	-0.5
361	7	7	7	7	2	0.5	-0.5
362	4	4	3	4	5	-0.5	0.5
363	5	5	5	5	3.5	-0.5	0.5
364	7	7	7	7	1	-0.5	0.5
365	7	4	4	5	2.5	0.5	0.5
366	6	7	6	1	2	-0.5	0.5
367	5	5	6	4	1	0.5	0.5
368	4	4	6	5	1.5	-0.5	0.5
369	5	7	7	7	1.5	0.5	0.5
370	1	1	1	2	3	-0.5	0.5
371	4	4	5	2	2	-0.5	0.5
372	7	7	7	7	1.5	0.5	0.5
373	2	2	2	2	4	0.5	0.5
374	2	5	5	6	1	-0.5	0.5
375	5	7	7	7	3	0.5	0.5
376	7	7	7	7	1.5	0.5	0.5
377	5	6	5	5	3.5	-0.5	0.5
378	7	7	7	7	2	0.5	0.5
379	6	6	5	7	3.5	-0.5	0.5
380	5	6	5	5	2	0.5	0.5
381	6	7	7	7	1.5	0.5	0.5
382	5	4	5	5	4.5	-0.5	0.5
383	7	7	7	7	1	0.5	0.5
384	7	7	7	7	1	0.5	0.5
385	7	7	7	7	1	-0.5	0.5
386	1	4	4	4	3	-0.5	0.5
387	4	4	4	5	2	-0.5	0.5
388	6	5	4	5	2	-0.5	0.5
389	6	6	4	7	2	0.5	0.5
390	5	5	5	6	2.5	-0.5	0.5
391	5	5	4	6	3	0.5	0.5
392	6	5	3	6	3	-0.5	0.5
393	6	6	5	2	2	-0.5	-0.5
394	5	7	7	7	2	-0.5	-0.5
395	4	5	3	4	3	-0.5	-0.5
396	1	7	7	7	2	-0.5	-0.5
397	2	2	2	3	5	-0.5	-0.5
398	7	7	7	7	1	0.5	-0.5
399	3	2	4	7	5	-0.5	-0.5
400	3	7	7	7	1.5	NA	-0.5
401	5	5	5	5	4	0.5	-0.5
402	2	2	2	1	3	-0.5	-0.5
403	7	7	7	7	2	0.5	-0.5
404	NA	4	4	4	2	-0.5	-0.5
405	3	3	3	3	2.5	-0.5	-0.5
406	7	7	7	7	1	0.5	-0.5
407	7	7	7	7	2	-0.5	-0.5
408	6	5	6	5	2.5	0.5	-0.5
409	5	4	5	5	4	0.5	-0.5
410	4	2	1	3	3	-0.5	-0.5
411	3	2	2	3	4	-0.5	-0.5
412	4	3	3	3	3	-0.5	-0.5
413	7	7	7	7	1.5	NA	-0.5
414	4	3	7	7	3	-0.5	-0.5
415	2	4	4	4	4	-0.5	-0.5
416	1	6	6	7	4.5	-0.5	-0.5
417	4	1	1	2	3.5	NA	-0.5
418	4	5	5	7	2	0.5	-0.5
419	3	2	1	3	4.5	-0.5	-0.5
420	7	7	7	7	1	-0.5	-0.5
421	7	7	5	7	3	-0.5	-0.5
422	7	7	7	7	3.5	0.5	-0.5
423	7	6	7	7	2	-0.5	-0.5
424	7	6	6	7	1.5	0.5	-0.5
425	1	1	1	2	5	0.5	-0.5
426	6	7	7	7	1	0.5	-0.5
427	4	4	4	7	2	-0.5	-0.5
428	6	7	7	7	1	0.5	-0.5
429	6	7	6	6	2.5	0.5	-0.5
430	6	6	6	2	3	-0.5	-0.5
431	4	5	6	3	3	0.5	-0.5
432	6	5	5	7	1.5	0.5	-0.5
433	6	3	3	5	3	0.5	-0.5
434	6	5	5	7	2.5	0.5	-0.5
435	2	2	4	5	2	0.5	-0.5
436	5	7	7	1	3	-0.5	-0.5
437	3	3	3	2	4.5	-0.5	-0.5
438	1	6	6	7	1.5	0.5	-0.5
439	7	7	6	6	2	-0.5	-0.5
440	6	5	5	6	3.5	0.5	-0.5
441	7	7	7	7	2.5	0.5	-0.5
442	7	7	7	7	1.5	0.5	-0.5
443	6	5	5	4	3	0.5	-0.5
444	5	7	7	6	NA	0.5	-0.5
445	6	6	6	6	4.5	-0.5	-0.5
446	1	3	3	3	3	-0.5	-0.5
447	4	6	6	5	3	0.5	-0.5
448	7	7	7	7	2	0.5	-0.5
449	3	1	1	2	4	-0.5	-0.5
450	7	7	7	7	1	0.5	-0.5
451	7	7	7	6	2.5	0.5	-0.5
452	3	4	4	5	3	-0.5	-0.5
453	1	1	2	7	3	0.5	-0.5
454	5	1	1	7	4.5	0.5	-0.5
455	6	7	7	7	1	0.5	-0.5
456	6	5	4	6	3	0.5	-0.5
457	6	6	6	6	1	0.5	-0.5
458	3	3	3	4	2.5	0.5	-0.5
459	5	7	7	7	1	-0.5	-0.5
460	1	5	5	6	3	-0.5	-0.5
461	5	5	5	5	3	0.5	-0.5
462	6	6	5	6	1.5	0.5	-0.5
463	5	6	6	6	NA	-0.5	-0.5
464	6	7	6	7	4.5	0.5	-0.5
465	5	5	4	5	3	0.5	-0.5
466	5	6	6	5	2	0.5	-0.5
467	2	4	5	5	3	0.5	-0.5
468	5	6	5	6	4	0.5	-0.5
469	4	5	5	6	2.5	-0.5	-0.5
470	5	6	6	5	1	-0.5	-0.5
471	5	6	5	4	2.5	0.5	0.5
472	7	7	7	1	1	0.5	0.5
473	4	3	3	5	4	-0.5	0.5
474	7	7	7	6	1	0.5	0.5
475	1	1	1	4	4	-0.5	0.5
476	5	5	4	5	3	-0.5	0.5
477	6	6	6	7	3	0.5	0.5
478	7	7	7	7	1	-0.5	0.5
479	7	7	5	7	3	-0.5	0.5
480	5	7	7	1	2	-0.5	0.5
481	6	6	7	7	2	0.5	0.5
482	4	4	5	5	4.5	0.5	0.5
483	7	3	7	7	2	0.5	0.5
484	3	2	3	7	4	-0.5	0.5
485	7	7	7	7	2	-0.5	0.5
486	3	3	3	4	2.5	-0.5	0.5
487	5	5	5	7	1.5	-0.5	0.5
488	4	4	3	6	3	-0.5	0.5
489	5	6	6	6	1	-0.5	0.5
490	4	4	3	6	3.5	-0.5	0.5
491	5	5	5	6	3	-0.5	0.5
492	4	7	7	7	1	0.5	0.5
494	5	5	4	6	3	0.5	0.5
495	6	6	7	6	3	-0.5	0.5
496	7	7	7	7	1	-0.5	0.5
497	5	6	7	7	3	-0.5	0.5
498	2	4	2	6	4.5	-0.5	0.5
499	6	6	5	6	3.5	-0.5	0.5
500	5	7	7	7	1	-0.5	0.5
501	2	2	2	3	4.5	0.5	0.5
502	4	3	4	6	1.5	-0.5	0.5
503	4	3	4	3	4	-0.5	0.5
504	5	5	6	6	3.5	0.5	0.5
505	6	5	5	5	1.5	-0.5	0.5
506	3	1	1	3	4	-0.5	0.5
507	5	3	3	7	5	0.5	0.5
508	3	3	3	5	2.5	-0.5	0.5
509	7	7	7	7	2	NA	0.5
510	6	4	3	5	4.5	0.5	0.5
511	6	7	7	7	2	-0.5	0.5
512	5	3	3	6	2.5	-0.5	0.5
513	6	4	5	7	3	-0.5	0.5
514	7	7	7	6	4.5	-0.5	0.5
515	5	7	5	7	2	-0.5	0.5
516	5	5	5	5	3.5	-0.5	0.5
517	7	7	7	7	2.5	0.5	0.5
518	4	6	5	6	3	0.5	0.5
519	6	7	4	7	1	-0.5	0.5
520	6	7	6	7	2.5	-0.5	-0.5
521	6	6	6	6	1	-0.5	0.5
522	6	7	6	6	1.5	-0.5	0.5
523	7	7	7	7	1.5	0.5	0.5
524	5	7	5	5	2	0.5	0.5
525	6	7	6	6	3.5	-0.5	0.5
526	5	5	5	7	4.5	0.5	0.5
527	7	7	6	5	4	0.5	0.5
528	7	7	7	7	1.5	-0.5	0.5
529	2	4	5	5	2	0.5	0.5
530	6	6	6	6	1	0.5	0.5
531	5	6	5	6	3.5	0.5	0.5
532	6	7	6	7	3	0.5	0.5
533	1	3	3	5	3	0.5	0.5
534	1	7	7	7	1.5	0.5	0.5
535	2	4	4	4	4	0.5	0.5
536	5	7	7	2	1.5	0.5	0.5
537	5	5	5	6	1.5	0.5	0.5
538	5	6	6	5	2	0.5	0.5
539	4	3	3	5	2	0.5	0.5
540	4	6	6	6	3	0.5	0.5
541	5	5	5	3	3.5	0.5	0.5
542	6	7	7	6	2	-0.5	0.5
543	7	7	7	6	2	0.5	0.5
544	4	3	3	5	4.5	-0.5	0.5
545	6	6	6	6	1.5	-0.5	0.5
546	3	5	4	5	1.5	0.5	0.5
547	2	2	1	5	3.5	0.5	0.5
548	5	5	4	5	3	0.5	0.5
549	4	3	3	5	2.5	-0.5	0.5
550	5	5	4	4	3.5	-0.5	0.5
551	5	7	6	7	2.5	-0.5	0.5
552	2	3	5	5	4.5	0.5	0.5
553	7	7	7	7	2.5	0.5	0.5
554	NA	NA	7	7	1	0.5	0.5
555	5	6	6	6	3.5	-0.5	0.5
556	7	7	1	7	2	0.5	0.5
557	5	6	5	6	4	0.5	0.5
558	7	7	7	7	2.5	-0.5	0.5
559	6	6	6	7	2	0.5	0.5
560	5	6	6	6	2	0.5	0.5
561	7	7	7	7	1.5	0.5	0.5
562	3	5	6	5	3	0.5	0.5
563	6	6	6	6	4	0.5	0.5
564	6	7	7	5	3	0.5	0.5
565	5	5	4	5	3.5	0.5	0.5
566	5	5	7	6	3	0.5	0.5
567	6	5	5	6	1	0.5	0.5
568	5	4	3	4	3	0.5	0.5
569	7	7	7	7	1	0.5	0.5
570	5	6	6	6	2	0.5	0.5
571	3	6	4	4	4	-0.5	0.5
572	3	4	3	4	2.5	-0.5	0.5
573	5	6	5	6	1	-0.5	0.5
574	3	4	4	4	3	-0.5	0.5
575	5	7	7	7	2.5	0.5	0.5
576	6	7	6	7	3	0.5	0.5
577	4	5	6	6	4	0.5	0.5
578	6	7	7	7	1	-0.5	0.5
579	6	7	5	5	2.5	0.5	0.5
580	6	6	6	5	3.5	0.5	0.5
581	5	7	7	5	1	0.5	0.5
582	7	4	4	7	3	0.5	0.5
583	4	4	3	4	3.5	-0.5	0.5
584	6	5	5	7	1.5	-0.5	0.5
585	7	7	7	7	3.5	0.5	0.5
586	7	7	7	6	2	-0.5	0.5
587	5	6	3	5	3	0.5	0.5
588	5	4	3	5	3.5	0.5	0.5
589	6	7	7	5	3	0.5	0.5
590	6	6	5	5	4	0.5	0.5
591	3	5	4	6	4	0.5	0.5
592	3	6	6	6	3	0.5	0.5
593	3	7	5	6	3	0.5	0.5
594	5	6	6	5	3	0.5	0.5
595	6	6	7	7	3	0.5	0.5
596	6	7	7	7	3	0.5	0.5
597	6	5	5	5	3	-0.5	0.5
598	4	4	3	4	4	-0.5	0.5
599	3	6	3	6	2	0.5	0.5
600	7	6	6	7	2.5	0.5	0.5
601	2	2	2	6	2.5	0.5	0.5
602	7	6	6	6	2.5	0.5	0.5
603	5	5	2	6	3	0.5	0.5
604	6	7	7	7	2	0.5	0.5
605	2	2	3	4	2	0.5	0.5
606	4	7	7	1	3	0.5	0.5
607	3	4	4	5	3	0.5	0.5
608	2	6	2	7	1.5	0.5	0.5
609	6	5	4	3	4	0.5	0.5
610	5	6	6	6	3	0.5	0.5
611	6	6	6	6	4.5	0.5	0.5
612	4	5	5	6	3	-0.5	0.5
613	6	5	5	6	3	0.5	0.5
614	4	5	3	4	3	0.5	0.5
615	5	5	5	6	1.5	-0.5	-0.5
616	7	7	7	7	1	0.5	-0.5
617	6	7	7	7	1	-0.5	-0.5
618	5	7	6	5	2.5	0.5	-0.5
619	3	4	3	3	3	-0.5	-0.5
620	6	5	6	7	2.5	-0.5	-0.5
621	3	1	3	4	4	0.5	-0.5
622	7	7	7	1	2	-0.5	-0.5
623	5	7	7	7	1.5	0.5	-0.5
624	7	7	7	7	2	0.5	-0.5
625	5	5	7	7	3.5	-0.5	-0.5
626	3	6	7	7	2.5	0.5	-0.5
627	5	7	7	5	3	0.5	-0.5
628	7	7	7	7	1	-0.5	-0.5
629	2	3	3	6	3	0.5	-0.5
630	7	7	7	7	1	0.5	-0.5
631	7	7	7	7	1	0.5	-0.5
632	3	3	4	4	5	-0.5	-0.5
633	5	5	4	4	3.5	0.5	-0.5
634	7	7	7	4	2	0.5	-0.5
635	5	5	5	5	3	0.5	-0.5
636	5	7	6	6	3	-0.5	-0.5
637	2	7	7	6	2	-0.5	-0.5
638	7	7	7	7	1	0.5	-0.5
639	7	7	7	1	2	-0.5	0.5
640	5	4	6	5	1.5	0.5	0.5
641	6	6	6	5	1	0.5	0.5
