AID,SCID,AH_PVT,Sup_Parent,Parent_Div,Agr_1,Agr_2,Agr_3,Agr_4,Ima_1,Ima_2,Ima_3,Ima_4
99500156,020,110,2,Married,4,3,3,3,4,2,2,2
90579296,041,91,2,Married,5,5,1,1,4,2,3,3
97576093,155,73,2,Married,4,4,2,4,4,4,4,2
91571007,259,72,2,Married,5,4,2,3,4,3,2,2
93508623,141,88,1,Divorced,5,4,3,5,5,4,3,1
94619866,026,80,1,Divorced,5,4,2,3,5,4,2,2
91576692,085,99,2,Divorced,5,4,2,2,4,2,2,2
97575337,077,105,2,Divorced,4,4,2,2,4,2,2,2
92575526,146,130,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
99576581,028,91,2,Divorced,4,3,2,2,3,3,3,2
95508931,259,86,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
96540057,072,121,1,Married,4,4,2,3,3,2,3,2
97570318,041,NA,1,Married,5,3,2,3,2,4,4,2
91540457,170,101,1,Divorced,4,3,2,3,4,3,3,2
98578740,072,91,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
96570134,076,101,2,Divorced,4,4,2,1,1,2,2,3
94506297,077,91,2,Divorced,4,4,2,2,3,4,4,4
90572221,071,94,1,Divorced,4,4,2,2,4,2,2,2
92504405,091,87,2,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
98578725,073,96,1,Divorced,4,3,2,3,3,3,2,3
93711378,070,NA,2,Divorced,5,4,1,2,4,2,2,1
96578534,086,123,NA,Married,4,3,3,2,4,3,3,2
99506360,065,102,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
98576259,029,126,1,Divorced,4,4,2,2,5,1,1,1
98572447,040,114,2,Married,5,4,2,2,2,2,2,1
96619065,062,108,1,Divorced,2,2,3,4,4,2,5,2
91885938,015,93,2,Married,4,4,2,1,2,2,2,2
97716066,171,118,2,Married,4,5,2,2,3,2,3,2
94570278,015,109,1,Divorced,3,3,2,3,4,2,3,1
91619860,175,93,NA,Married,NA,NA,NA,NA,NA,NA,NA,NA
97506190,078,82,1,Married,5,4,3,3,3,3,3,1
99606928,041,109,2,Married,4,2,3,3,4,2,3,2
92576899,025,110,1,Married,4,4,2,2,4,2,2,2
97544182,035,100,1,Divorced,5,3,3,3,5,2,2,2
94713705,109,124,2,Married,5,5,3,2,4,2,2,2
96579979,085,107,2,Divorced,3,3,3,3,4,4,3,3
93576996,270,76,1,Married,4,4,3,3,3,3,3,3
90711167,006,96,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
57199019,077,79,1,Divorced,5,4,1,1,4,2,2,2
92570629,041,106,2,Married,4,4,2,2,4,1,3,2
99571970,023,80,1,Married,5,4,2,2,4,2,2,2
98576993,039,99,2,Married,4,4,2,4,4,2,2,2
99713334,085,79,2,Married,5,3,2,2,3,4,4,3
98571403,008,100,1,Married,4,4,2,3,3,2,3,2
92714117,042,84,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
98578046,177,111,1,Divorced,4,4,3,3,4,2,2,2
92715966,085,88,2,Married,5,4,2,1,5,2,2,1
91580927,120,105,1,Married,4,3,3,3,4,3,4,2
99590358,141,108,1,Married,4,4,2,2,2,2,2,4
99506296,091,116,1,Divorced,5,4,2,2,2,2,4,2
93573482,077,NA,1,Divorced,4,4,2,2,2,3,3,2
98506090,054,117,1,Divorced,3,4,2,2,3,3,3,2
94714942,031,119,2,Married,4,4,2,2,5,2,1,1
91710130,122,116,2,Married,5,5,1,1,5,1,2,1
93710289,080,104,1,Married,4,3,2,3,4,2,2,2
92711176,168,98,1,Divorced,4,3,2,3,3,2,2,3
91571674,049,94,NA,Married,4,3,2,2,3,2,3,2
91575280,085,122,1,Divorced,4,3,2,2,4,2,2,2
99570725,049,93,1,Divorced,5,5,2,1,4,1,2,1
95712949,114,87,1,Married,4,4,1,2,2,3,3,1
98572992,007,80,2,Married,5,5,1,1,4,3,3,1
93579260,085,83,1,Divorced,5,4,1,1,5,2,5,2
97717958,171,89,1,Divorced,5,4,1,2,3,2,2,2
97540151,058,118,1,Married,5,4,2,3,4,2,2,1
94576010,040,92,1,Divorced,4,3,2,2,3,4,2,2
92578862,047,NA,2,Divorced,4,3,2,2,2,4,4,4
98573214,058,81,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
91576964,076,118,1,Married,4,3,2,1,4,2,4,2
57279640,056,101,1,Married,5,4,2,3,4,2,2,2
90506293,041,94,1,Married,4,4,2,2,2,2,2,2
97573618,024,72,2,Married,4,2,2,4,4,2,3,4
93712972,024,116,2,Married,4,3,3,3,4,3,3,2
93500878,078,93,1,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
99608876,173,118,2,Married,5,4,2,4,4,2,3,2
97576290,068,115,1,Divorced,3,3,3,4,4,3,3,1
97578088,029,93,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
98570378,121,120,1,Married,4,2,2,2,5,1,1,1
96576723,090,90,1,Divorced,4,4,2,2,4,3,3,2
94572208,147,115,NA,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
96579265,013,95,1,Married,5,4,2,3,4,2,3,2
98576600,078,80,1,Married,4,4,2,2,4,2,3,3
94718209,150,77,1,Married,4,4,4,3,4,4,4,2
94578343,014,80,2,Married,5,5,1,1,5,3,2,1
98577924,058,116,2,Married,5,4,2,4,5,2,1,1
92508667,019,112,2,Married,5,4,2,3,4,2,2,2
91789977,088,92,1,Married,3,4,3,3,4,3,3,2
98546992,090,110,2,Divorced,5,4,2,1,2,NA,3,3
96374975,167,NA,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
96716188,126,NA,NA,Married,NA,NA,NA,NA,NA,NA,NA,NA
92506590,013,104,1,Married,4,4,1,2,4,2,3,2
91570852,013,NA,1,Married,3,3,2,3,4,2,3,2
96713999,077,111,1,Divorced,5,5,2,1,5,5,3,1
97578628,020,102,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
98572465,023,110,2,Married,4,4,2,2,4,3,3,2
97576294,041,84,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
95571918,076,NA,2,Married,4,3,2,2,4,2,1,2
98716359,042,93,2,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
92578995,077,115,1,Married,4,3,2,2,4,2,3,2
97578946,057,NA,2,NA,5,4,2,4,4,1,1,1
91576093,999,99,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
94614276,058,115,2,NA,5,3,2,2,4,4,4,2
99575068,179,105,NA,Married,4,2,2,2,4,2,2,1
94718143,133,98,1,Married,4,4,2,2,2,3,3,2
93573317,044,113,2,Divorced,3,5,3,4,5,1,1,1
96578841,077,86,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
90570892,203,97,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
94711277,033,98,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
92579176,092,85,1,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
92575196,046,93,NA,Married,NA,NA,NA,NA,NA,NA,NA,NA
93718019,033,110,2,Married,5,2,2,2,3,2,1,2
96577786,077,93,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
57277526,006,94,2,Divorced,4,4,4,4,4,2,2,2
90575269,999,97,1,Married,5,4,2,2,5,3,3,2
90574832,046,116,2,Married,4,4,2,2,4,1,1,2
92571112,040,NA,NA,Divorced,4,3,2,5,3,3,3,3
90504487,155,102,2,Married,4,4,2,2,4,2,3,1
97574490,092,104,2,Married,4,3,2,2,3,2,2,2
95714125,077,88,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
90506390,020,115,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
98504600,185,111,2,Divorced,5,5,1,2,3,2,4,1
92576504,050,98,2,Divorced,5,5,1,2,2,2,2,2
99575038,018,100,1,Married,4,4,2,4,3,2,3,2
99717365,027,85,2,Divorced,4,3,2,2,4,2,2,2
96716893,106,109,2,Married,4,4,2,2,3,2,3,2
97506385,077,122,1,Divorced,5,4,1,1,4,3,3,2
91571756,022,90,2,Married,4,3,3,3,3,3,3,2
99714993,041,108,2,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
94570020,150,88,2,Divorced,3,3,1,5,5,1,3,1
96578142,058,NA,2,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
93575211,054,86,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
92508020,186,104,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
92575253,371,80,1,Married,4,4,2,2,2,2,2,2
97577187,068,84,1,Married,5,5,1,2,5,1,1,1
94578088,090,99,1,Married,5,5,1,1,3,1,1,1
94714115,017,111,1,Married,5,5,1,2,4,1,1,1
95506694,149,106,1,Divorced,5,5,1,1,5,2,1,1
98714182,077,96,2,Married,4,3,2,3,4,2,3,2
94571468,006,103,2,Divorced,5,5,1,1,5,1,2,1
95508333,050,114,1,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
97573929,078,89,1,Married,4,3,3,3,4,3,3,2
92713190,039,58,1,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
95576308,062,97,1,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
96716058,078,118,1,Divorced,5,3,1,2,4,4,3,1
96575061,054,NA,2,Married,5,4,3,4,5,3,3,1
91570452,020,107,1,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
92506891,026,75,1,Divorced,3,3,2,3,3,2,2,2
91579999,150,104,2,Married,5,4,2,1,3,2,3,2
91540058,269,104,NA,Married,5,4,1,2,5,2,3,2
96884917,077,109,1,Married,4,4,2,4,2,3,4,3
96575189,077,94,2,Divorced,4,3,3,3,4,3,3,2
95712214,106,111,2,Divorced,5,4,1,2,4,2,2,1
91576322,001,87,1,Married,3,2,2,2,2,4,2,4
93506090,065,126,2,Married,5,4,2,3,5,2,2,2
99573296,042,96,2,Married,4,3,2,2,4,2,2,2
93718194,077,102,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
94678972,077,125,2,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
95574708,076,100,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
95714841,090,114,1,Married,4,4,2,2,4,1,2,2
93506996,041,106,1,Married,5,4,1,1,4,2,2,2
95503030,022,103,1,Divorced,4,3,4,4,4,3,2,1
93576552,077,108,1,Married,4,3,2,2,4,2,3,2
98579235,371,104,2,Married,5,4,2,2,4,2,2,2
99573491,133,99,1,Divorced,4,3,4,2,5,NA,NA,1
94715980,094,99,2,Married,4,3,1,2,5,2,2,1
96711171,054,88,1,Married,2,2,2,2,4,2,3,2
95711878,270,111,2,Married,5,4,2,2,4,2,2,2
96577687,090,108,1,Married,5,5,1,1,4,2,2,1
97575901,071,110,NA,Divorced,4,4,2,2,4,3,4,2
92710091,058,116,NA,Divorced,2,5,5,5,5,1,2,1
97574433,123,64,1,Married,4,3,2,2,2,2,2,2
99711362,193,97,NA,NA,5,4,1,1,3,2,4,3
95571160,087,94,2,Divorced,5,4,2,2,5,2,2,2
91540656,023,97,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
92506198,155,124,2,Married,5,5,1,1,5,1,5,2
97718023,073,89,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
90571064,050,85,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
96572946,041,120,2,Divorced,4,4,2,2,4,2,2,2
99576503,013,NA,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
91575076,052,100,1,Divorced,4,3,2,2,3,2,4,3
94575969,094,95,1,Married,4,4,2,3,4,3,3,3
90576987,031,76,1,Married,4,4,2,2,4,3,3,3
95886991,044,93,2,Divorced,4,3,3,3,4,3,3,2
97578449,078,93,1,Divorced,4,4,2,3,4,2,2,2
94572003,055,94,2,Divorced,4,4,3,3,4,3,3,3
98578665,035,94,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
95713308,070,108,2,Divorced,4,4,2,2,4,2,2,2
92506253,058,96,1,Married,5,3,2,2,4,3,3,3
99713501,077,94,2,NA,5,2,3,3,5,3,3,2
91585905,149,114,1,Married,4,4,2,3,4,4,3,2
94710380,123,109,1,Married,4,4,2,2,4,2,1,2
98571567,029,106,2,NA,4,4,2,2,3,3,3,2
91584935,024,112,2,Divorced,5,4,2,2,4,2,2,1
90506094,265,111,2,Married,4,3,3,3,4,3,3,2
92575313,058,96,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
98577712,193,84,1,Married,5,5,1,1,5,1,1,1
94504084,058,122,2,Divorced,4,3,2,2,4,2,3,2
94578216,077,95,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
94504506,015,111,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
94576438,123,81,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
90572386,049,83,2,Divorced,4,4,2,2,4,2,4,2
98714986,150,111,2,Married,5,4,2,2,5,2,2,1
97507158,034,102,NA,Married,NA,NA,NA,NA,NA,NA,NA,NA
90506472,062,115,1,Married,5,4,2,3,4,2,3,2
95579292,049,83,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
94540059,026,83,2,Married,5,4,2,3,4,3,2,1
98716332,049,NA,2,Married,4,3,2,3,4,3,2,2
91716862,119,109,2,Married,5,4,2,2,4,2,2,2
92579994,084,88,2,Married,3,2,3,2,2,2,3,2
95714281,077,93,1,Divorced,4,3,2,2,3,2,3,2
93578015,153,67,2,Married,4,4,2,3,4,2,4,2
96500920,139,106,1,Married,5,5,1,1,5,2,2,1
94576389,049,121,2,NA,4,4,2,3,3,3,4,2
91606528,174,92,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
99506994,066,108,2,Married,4,4,2,2,5,2,2,2
94508167,164,102,2,Married,4,4,2,2,4,2,3,2
99576993,079,105,NA,Divorced,4,3,2,2,1,2,3,2
92608276,259,86,2,Married,4,3,3,3,3,4,3,2
99578640,040,84,2,Divorced,5,4,2,2,4,2,2,2
98714143,078,79,1,Married,4,4,2,4,5,2,2,1
92710139,187,83,2,Married,4,3,2,2,2,3,3,3
95576691,058,102,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
98504903,050,NA,2,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
94576834,022,96,2,Divorced,4,3,2,2,3,3,3,2
91578644,162,NA,1,Married,4,4,3,2,5,2,2,2
95315092,023,92,1,Married,4,3,3,4,3,2,3,3
99714848,041,97,2,Married,4,4,4,4,4,4,4,2
94576814,034,112,1,Married,4,2,5,1,5,4,2,1
91884952,065,67,2,Married,4,1,4,1,1,4,4,4
93578942,058,114,1,Married,4,3,2,2,4,4,4,2
93578346,006,95,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
97570057,065,108,1,Married,3,3,2,3,3,3,3,2
97575096,175,89,NA,Divorced,5,2,2,1,4,2,3,2
97575248,077,87,1,Divorced,4,4,4,3,3,3,3,2
93712270,002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92714116,034,118,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
90718081,031,109,2,Married,4,4,2,2,4,2,2,2
95571158,158,89,2,Married,4,4,2,4,5,2,2,1
99636954,057,110,1,Married,4,4,3,2,4,3,2,2
92714192,042,109,2,Married,5,5,1,2,4,3,2,2
97608870,077,111,2,Divorced,4,4,2,3,4,2,3,2
97575239,050,NA,2,Divorced,2,1,3,3,5,1,1,1
95573618,010,102,2,Divorced,1,2,3,4,5,2,2,2
99572200,028,86,1,Divorced,4,3,2,1,2,3,2,4
90678378,041,NA,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
99646222,072,92,2,Married,4,2,2,4,1,3,3,4
93576638,085,83,NA,Married,NA,NA,NA,NA,NA,NA,NA,NA
99570685,021,70,1,Divorced,5,5,2,2,2,4,2,2
91716627,171,94,1,Married,5,4,1,2,3,4,4,2
98574345,158,116,1,Divorced,5,4,2,2,4,2,2,2
91710292,175,113,2,Married,4,3,2,2,4,2,3,2
96715281,042,87,1,Married,5,4,4,4,5,3,3,1
95574936,077,96,2,Divorced,4,5,2,2,2,2,1,2
93576853,047,90,1,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
95577685,058,96,2,Divorced,4,2,3,4,2,4,4,4
99576041,033,NA,NA,NA,5,4,5,3,5,2,2,4
92572322,079,116,2,Married,5,2,1,1,5,4,4,2
90714936,060,91,1,Married,4,3,2,2,2,3,3,3
99572178,123,109,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
98579942,166,99,2,Married,5,4,2,2,3,2,2,4
95576692,109,106,1,Married,4,3,2,2,3,3,3,3
91578074,160,98,1,Married,5,4,2,2,4,2,3,1
92719934,027,109,2,Divorced,3,3,3,4,5,4,5,2
94578810,050,110,1,NA,3,3,3,4,3,3,3,2
92710291,164,96,1,Married,4,3,2,3,3,3,3,3
90575825,080,110,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
92572066,010,95,1,Married,4,2,2,2,3,3,3,2
91784911,082,87,2,Divorced,5,3,2,2,3,4,3,3
92573924,085,101,1,Married,5,4,2,3,4,1,2,1
95718215,171,100,1,Divorced,4,3,3,3,4,2,3,2
91571300,025,100,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
95713193,040,91,2,Married,4,4,4,3,2,3,4,2
95576193,041,101,2,Married,4,3,3,3,3,3,3,3
94576748,094,80,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
90571053,079,112,NA,NA,2,1,2,5,5,1,1,2
99507986,058,83,1,Married,4,3,2,2,4,3,3,2
92575081,055,114,1,NA,4,4,2,3,3,3,3,2
96506990,174,90,1,Married,5,4,2,2,5,2,2,5
99575396,058,82,1,Married,4,2,4,4,3,3,NA,3
57195317,120,97,1,Married,4,4,3,3,4,3,3,2
57118381,049,88,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
90578769,026,NA,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
96710053,012,111,1,Divorced,4,3,2,2,2,3,3,3
99579997,126,103,2,Divorced,4,4,2,2,3,3,3,2
91888988,023,95,2,Married,4,2,1,2,3,2,2,2
96506442,041,92,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
94576111,006,98,2,NA,4,4,2,4,3,3,3,3
90714146,071,NA,2,Divorced,3,3,2,3,3,3,3,3
88204513,270,112,2,Divorced,4,5,1,1,5,1,1,1
93506899,065,84,2,Married,5,4,4,5,1,2,2,2
92575995,019,75,2,Married,2,2,2,4,5,2,4,2
97506096,075,102,2,Married,5,3,2,3,3,2,2,2
99544087,010,111,2,Married,5,3,2,1,5,2,3,1
96571878,155,123,2,NA,5,4,1,2,4,2,2,2
90577583,077,111,1,Divorced,4,4,2,2,4,2,2,2
91713098,077,95,NA,Divorced,4,4,2,1,4,3,3,2
95576369,053,102,2,Married,4,4,2,2,4,2,2,2
92504321,050,97,1,Divorced,5,3,2,2,4,4,4,2
92575331,042,95,NA,Divorced,5,4,1,1,5,2,3,1
92575076,077,106,1,Divorced,5,4,2,2,3,2,2,2
97578110,085,80,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
93710031,092,109,2,Divorced,5,3,2,5,4,NA,3,2
99540251,259,102,1,Married,4,4,2,2,4,2,2,2
92719979,055,126,2,Married,4,4,2,2,4,2,4,2
92716167,060,93,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
93579947,054,65,2,Married,4,4,2,2,2,2,4,3
93574207,018,113,2,Married,2,2,2,2,4,2,3,2
96579972,001,114,1,Divorced,4,5,2,3,4,2,2,1
96579970,067,89,2,Married,4,3,2,3,4,2,3,2
94574281,070,84,NA,Married,4,4,2,2,2,5,2,2
96572224,127,98,2,Married,4,4,2,2,3,2,2,2
97572316,029,NA,NA,Married,NA,NA,NA,NA,NA,NA,NA,NA
99544880,153,89,1,Married,5,4,2,1,4,3,3,2
57133772,012,117,1,Married,5,4,2,3,4,2,2,2
96577326,139,101,1,Divorced,5,4,1,1,5,1,1,1
90718183,094,88,2,Married,NA,NA,NA,NA,NA,NA,NA,NA
94572295,187,92,2,Divorced,4,4,3,3,4,2,3,2
98572913,012,74,2,Married,3,4,2,2,2,4,4,2
91885997,081,120,1,Divorced,4,4,2,2,3,3,3,3
93576195,059,80,1,Divorced,4,4,1,2,1,3,3,2
96576293,203,113,2,Married,5,3,2,2,3,3,2,2
90714233,024,111,1,Married,3,1,4,4,2,2,4,4
97576913,077,103,2,Married,5,5,2,1,4,2,4,2
97711074,093,94,1,NA,4,4,1,2,5,2,2,1
95578333,057,102,1,Married,NA,NA,NA,NA,NA,NA,NA,NA
92716903,265,87,2,Divorced,4,2,2,2,2,2,2,2
92570727,187,95,1,NA,1,3,3,1,1,3,3,3
96575627,058,84,1,Married,3,3,4,5,4,2,3,1
90570297,194,96,2,Divorced,4,4,NA,2,2,NA,NA,2
91712375,078,87,1,NA,4,4,2,2,4,2,4,2
96575949,164,110,2,Married,4,4,3,3,4,2,2,2
93590952,033,78,2,Divorced,3,2,5,5,4,2,4,3
57266032,271,112,2,Married,2,2,2,2,3,2,4,2
92575957,035,113,NA,Divorced,4,4,2,2,4,4,2,1
93577187,133,76,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
99714942,077,99,2,Divorced,4,4,2,2,4,3,3,2
97572845,068,114,2,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
96504601,171,NA,1,Divorced,4,4,2,2,4,4,3,2
91578890,042,95,2,Divorced,4,3,3,3,3,2,3,1
95504709,007,107,1,Married,5,4,2,2,4,3,3,1
92674243,999,64,2,Divorced,NA,NA,NA,NA,NA,NA,NA,NA
97506296,034,126,2,Married,5,5,1,1,4,2,1,2
57245546,162,75,1,Divorced,5,2,2,2,1,2,2,2
96504296,093,114,1,Divorced,5,4,2,2,4,2,2,2
91888981,041,97,1,Divorced,5,5,2,4,4,2,2,1
94575194,139,91,1,Married,4,3,4,4,3,4,4,2
92716394,046,106,2,Married,4,4,2,3,3,3,3,3
