ID,Forecast_1,Forecast_2,Forecast_3,Forecast_4,Dep_a,Dep_b,Dep_c,Dep_d,Dep_e,Dep_f
186,3,8,4,4,1,2,1,1,2,1
187,9,7,4,8,3,3,2,3,1,1
188,10,7,6,4,3,1,2,1,1,1
189,1,5,6,5,1,2,2,2,4,4
190,6,6,9,7,1,1,1,1,1,1
191,2,6,4,3,1,3,3,1,2,2
192,4,8,4,8,1,2,1,4,3,2
193,10,4,6,7,2,1,1,1,1,1
194,4,3,3,3,1,1,3,1,1,3
195,6,4,2,5,2,2,1,2,2,1
196,6,9,5,9,2,2,1,3,2,2
197,5,4,5,5,1,4,1,5,2,1
198,1,3,3,4,1,6,7,1,7,4
199,8,3,7,4,2,1,2,1,1,3
200,5,4,5,2,4,3,4,2,3,2
201,5,6,7,5,2,5,2,2,4,2
202,8,5,5,7,2,1,1,3,1,1
203,3,6,7,4,1,1,2,1,1,1
204,4,2,5,5,4,2,1,7,6,6
205,5,6,2,6,3,3,1,3,1,3
206,1,2,4,5,2,4,7,7,1,6
207,3,4,3,4,1,3,1,1,1,1
208,7,7,4,3,2,2,1,1,1,1
209,5,7,2,6,3,1,1,2,3,1
210,7,6,5,6,5,7,3,2,4,2
211,5,5,5,10,1,2,3,1,5,6
212,8,7,5,5,3,3,1,4,3,4
213,4,8,5,8,1,2,1,2,1,1
214,4,4,3,4,3,1,2,1,5,1
215,3,6,6,4,1,6,4,2,4,1
216,7,5,9,4,1,5,3,1,1,5
217,4,7,10,6,1,2,2,1,2,1
218,2,7,7,6,1,1,3,6,2,5
219,7,7,3,4,7,5,1,1,4,3
220,10,5,5,5,2,1,1,1,2,1
221,1,2,2,2,1,2,2,2,2,1
222,8,4,4,8,4,5,1,1,2,2
223,5,5,2,4,3,3,2,3,3,3
224,2,4,6,1,1,3,4,1,4,1
225,4,3,2,6,4,1,1,4,3,4
226,7,4,4,9,2,2,1,1,3,1
227,5,8,4,7,1,2,1,2,1,1
228,0,4,0,4,1,3,1,3,2,3
229,4,8,7,10,1,1,2,2,2,4
230,5,9,5,5,2,4,1,1,4,1
231,7,8,9,9,1,1,1,1,1,1
232,6,4,3,2,4,2,2,1,5,5
233,6,6,8,7,2,2,2,2,2,1
234,6,3,8,4,1,1,2,1,1,2
235,4,NA,5,6,2,1,2,3,2,1
236,8,4,8,5,2,1,1,1,1,1
237,4,4,3,4,2,4,1,1,4,1
238,5,6,5,9,1,2,3,3,3,2
239,7,6,5,10,1,2,5,6,2,1
240,1,5,4,2,1,6,4,2,4,7
241,5,10,8,8,1,4,4,4,2,3
242,6,4,3,0,3,2,1,1,3,2
243,3,4,2,3,3,4,2,4,4,2
244,5,5,6,8,1,1,1,2,1,1
245,4,4,3,2,2,1,1,1,1,3
246,2,2,1,1,5,6,4,4,6,3
247,5,8,5,8,1,2,1,1,1,1
248,6,4,7,7,3,2,4,4,1,1
249,6,2,0,3,7,3,1,4,1,5
250,8,5,6,5,2,1,1,3,2,1
