id,cons1,cons2,cons3,cons4,cons5,cons6,cons7,cons8,cons9,cons10,cons11,cons12,cons13,cons14,cons15,SocialMedia,AnnoyingVariable,Age,Anx1,Anx2,Anx3,Anx4,Anx5,Gender,anes_0,anes_rep,anes_dem,anes_ind
55,3,5,3,3,3,3,2,3,3,3,2,2,2,2,2,2,1,42,3,2,3,2,3,1,1,2,NA,NA
56,2,2,1,3,4,2,1,2,1,2,2,2,1,2,4,2,1,66,2,2,3,3,4,2,3,NA,NA,5
57,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,2,1,41,1,1,1,4,5,2,3,NA,NA,5
58,4,4,3,4,5,5,4,4,3,4,5,4,4,5,5,1,1,28,4,2,1,2,2,2,3,NA,NA,5
59,3,3,5,4,4,3,3,5,3,3,3,3,3,4,5,1,1,43,1,1,1,5,5,1,1,2,NA,NA
60,2,1,2,2,1,2,1,2,2,3,2,1,3,2,2,1,1,35,2,4,2,3,4,2,3,NA,NA,5
61,2,1,2,2,2,1,1,3,1,1,1,1,1,1,2,1,1,33,1,1,2,4,4,1,2,NA,7,NA
62,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,48,2,4,4,1,2,1,1,2,NA,NA
63,1,2,1,2,2,1,1,4,3,3,1,1,1,2,3,1,1,64,3,4,3,1,2,2,3,NA,NA,5
64,2,2,2,2,2,2,2,2,2,2,1,1,3,2,3,2,1,48,1,4,1,4,4,4,3,NA,NA,4
65,2,2,3,2,2,3,2,4,1,3,3,2,2,2,4,2,1,25,3,2,2,3,3,2,2,NA,7,NA
66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,56,1,1,1,5,5,1,2,NA,7,NA
67,3,3,3,3,3,4,3,3,3,4,3,3,3,4,4,2,1,35,4,4,5,2,2,1,3,NA,NA,4
68,2,3,4,2,2,2,2,4,4,3,2,2,3,3,3,2,1,50,1,1,1,4,4,2,2,NA,6,NA
69,2,3,3,3,2,2,3,4,2,3,3,2,3,2,2,2,1,55,3,1,3,2,2,1,2,NA,7,NA
70,4,2,1,2,2,2,2,1,1,2,3,2,1,2,4,2,1,33,2,2,4,3,3,2,3,NA,NA,5
71,4,5,4,5,5,4,5,5,3,5,4,5,3,4,5,2,1,39,1,2,1,2,2,2,1,2,NA,NA
72,2,2,4,4,4,1,2,4,1,2,2,4,2,1,4,2,1,31,4,4,4,2,2,1,3,NA,NA,5
73,5,2,4,3,4,1,4,3,3,2,5,2,3,4,4,2,1,22,4,3,3,4,2,2,2,NA,6,NA
74,3,1,1,1,3,1,1,1,1,1,1,1,1,3,3,1,1,34,1,1,2,4,4,2,3,NA,NA,5
75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,69,1,1,1,5,5,1,2,NA,7,NA
76,5,4,4,4,5,5,4,4,4,5,5,4,4,5,5,2,1,33,4,4,2,1,2,1,2,NA,6,NA
77,1,1,1,1,4,1,1,1,1,2,2,1,1,1,5,2,1,54,1,2,3,4,5,2,3,NA,NA,3
78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,64,1,2,2,4,4,1,2,NA,7,NA
79,1,1,2,1,1,1,1,2,2,1,4,1,1,2,1,1,1,37,5,4,5,1,1,1,2,NA,7,NA
80,2,4,4,1,1,1,4,5,2,1,2,2,2,1,5,2,1,49,1,1,1,4,4,2,2,NA,7,NA
81,1,1,1,2,4,1,3,4,1,4,1,1,3,1,4,2,1,22,2,2,2,4,4,2,1,1,NA,NA
82,1,1,1,2,1,1,1,2,2,2,2,1,1,2,3,1,1,69,1,1,1,4,5,2,1,2,NA,NA
83,4,5,5,3,3,4,5,5,5,4,4,5,5,5,5,1,1,37,5,5,5,1,1,1,2,NA,6,NA
84,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,66,1,1,1,4,5,2,1,1,NA,NA
85,1,2,1,1,2,2,1,1,1,2,2,1,1,2,5,1,1,30,1,1,1,5,5,2,3,NA,NA,4
86,1,1,1,1,1,1,1,5,1,1,1,1,5,5,4,2,1,30,1,1,1,5,4,2,1,1,NA,NA
87,4,4,2,3,3,4,4,3,2,3,4,4,3,4,5,2,1,55,2,1,4,3,2,1,3,NA,NA,4
88,3,2,2,2,4,3,2,3,2,5,4,2,2,2,5,1,1,54,1,1,1,5,4,2,1,2,NA,NA
89,1,1,2,2,1,1,1,2,1,2,1,1,4,1,2,2,1,67,1,1,1,5,5,2,2,NA,7,NA
90,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,37,1,1,2,4,5,1,3,NA,NA,5
91,4,5,5,4,4,5,5,4,5,4,4,4,3,4,2,2,1,42,1,2,2,5,4,2,1,2,NA,NA
92,2,1,1,1,1,1,1,2,1,4,2,1,1,2,4,1,1,48,1,1,1,5,5,2,2,NA,7,NA
93,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,1,33,1,1,2,3,4,2,2,NA,6,NA
94,4,1,1,4,1,5,1,1,1,4,4,1,1,4,4,2,1,33,5,4,4,1,1,1,3,NA,NA,5
95,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5,1,1,32,1,1,1,5,5,2,1,2,NA,NA
96,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,43,1,1,2,3,5,1,1,2,NA,NA
97,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,1,1,39,5,4,3,1,3,2,2,NA,6,NA
98,4,5,2,3,2,1,1,4,3,2,2,2,3,1,2,2,1,32,3,5,5,3,2,2,2,NA,6,NA
99,2,1,1,1,1,3,3,5,2,3,3,1,3,3,5,2,1,31,4,4,4,2,1,1,2,NA,7,NA
100,4,4,5,5,4,5,5,5,4,4,4,4,5,5,4,1,1,24,4,4,4,4,4,2,1,1,NA,NA
101,1,1,1,2,2,1,1,1,1,3,2,1,1,1,3,1,1,62,2,2,3,2,4,2,1,2,NA,NA
102,4,5,4,4,4,4,5,4,4,5,4,4,4,5,5,2,1,37,4,4,3,4,3,1,3,NA,NA,3
103,4,5,5,4,3,2,4,1,4,5,4,2,5,3,5,2,1,35,2,1,2,5,3,2,3,NA,NA,3
104,4,3,4,3,4,4,4,3,4,4,3,4,4,4,3,1,1,37,3,2,4,4,2,2,2,NA,6,NA
105,4,4,5,4,4,4,4,4,5,5,4,4,5,5,5,2,1,47,5,4,5,4,5,2,1,1,NA,NA
106,2,1,3,2,2,1,1,4,1,2,2,1,2,3,4,2,1,44,2,2,2,4,4,2,1,2,NA,NA
107,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,2,1,27,2,2,2,3,4,1,2,NA,7,NA
108,2,2,2,2,3,2,2,2,3,4,2,4,2,2,4,1,1,46,2,2,2,2,2,1,1,2,NA,NA
109,2,4,1,5,4,2,2,1,1,3,1,1,1,2,2,1,1,55,1,1,1,5,5,1,2,NA,7,NA
110,3,5,3,2,1,4,3,1,4,3,2,1,5,3,2,2,1,26,2,2,4,2,4,1,2,NA,7,NA
111,2,3,1,2,1,2,3,1,1,2,3,4,2,5,4,2,1,36,1,4,4,2,5,2,3,NA,NA,5
112,4,4,5,4,4,4,4,5,4,4,4,4,4,4,4,2,1,47,2,2,1,4,4,1,2,NA,7,NA
113,5,3,3,4,4,4,3,4,1,5,5,4,1,5,5,1,1,43,2,2,5,2,4,1,2,NA,7,NA
114,4,5,5,4,5,5,4,5,5,4,5,4,4,5,5,1,1,32,1,1,1,5,1,1,1,1,NA,NA
115,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,31,2,2,4,2,4,2,2,NA,7,NA
116,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,71,2,2,1,4,4,2,2,NA,7,NA
117,3,4,4,4,4,4,4,3,4,4,4,4,3,4,4,2,1,37,4,2,4,1,2,2,3,NA,NA,4
118,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,73,5,4,4,2,1,2,2,NA,6,NA
119,4,4,1,1,2,4,4,1,3,4,5,5,1,3,5,2,1,53,5,4,4,1,1,1,3,NA,NA,4
120,2,2,2,4,4,3,2,3,2,4,4,2,2,2,4,2,1,38,1,1,1,4,4,1,3,NA,NA,3
121,1,2,1,1,1,2,1,2,1,2,2,1,2,2,4,1,1,38,1,1,1,4,5,2,2,NA,6,NA
122,4,2,3,3,4,3,4,4,3,2,4,3,3,4,2,2,1,31,3,3,3,4,1,2,2,NA,7,NA
123,4,3,2,4,4,4,3,4,4,4,4,4,2,3,2,1,1,29,1,1,3,1,1,1,2,NA,6,NA
124,2,2,2,2,3,2,2,3,2,3,2,2,3,3,3,1,1,NA,1,1,1,5,5,4,2,NA,6,NA
125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,64,1,1,1,5,5,2,2,NA,7,NA
126,2,2,1,3,3,2,2,1,2,2,2,2,1,2,2,1,1,70,2,2,2,4,4,2,1,1,NA,NA
127,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,32,2,2,4,2,2,1,2,NA,7,NA
128,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,36,1,1,1,1,5,2,2,NA,7,NA
129,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,2,1,39,1,1,1,4,5,2,2,NA,6,NA
130,2,2,1,2,2,4,2,2,2,2,4,2,4,2,5,2,1,48,1,2,1,1,4,2,1,1,NA,NA
131,2,2,4,2,2,3,2,4,2,3,4,2,4,3,4,2,1,28,2,1,2,3,4,2,2,NA,6,NA
132,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,1,37,4,2,2,2,2,1,2,NA,6,NA
133,2,2,1,4,4,2,2,1,2,2,2,1,1,2,4,1,1,45,1,2,2,2,5,1,1,1,NA,NA
134,1,2,1,2,1,1,1,2,1,1,1,2,2,1,1,2,1,33,1,2,1,1,1,2,1,1,NA,NA
135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,42,1,3,3,3,5,2,2,NA,7,NA
136,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,55,1,2,2,4,4,2,2,NA,7,NA
137,4,4,4,4,3,5,4,4,4,3,4,4,4,4,4,2,1,52,1,1,1,5,5,1,3,NA,NA,3
138,4,3,2,2,4,2,2,4,4,5,4,4,3,4,5,1,1,25,3,2,5,3,2,1,2,NA,7,NA
139,4,4,3,3,2,4,4,2,2,3,4,4,3,3,4,2,1,27,3,4,2,2,2,2,2,NA,6,NA
140,3,2,2,2,2,3,4,4,2,2,4,3,3,2,4,2,1,26,2,2,3,2,2,1,2,NA,6,NA
141,2,1,1,2,3,1,1,2,1,3,2,1,1,1,4,2,1,43,1,1,2,4,4,2,1,2,NA,NA
142,4,4,3,4,5,3,4,3,1,5,4,4,2,3,5,2,1,36,2,2,1,4,3,2,1,2,NA,NA
143,4,3,1,4,4,3,2,2,2,2,4,4,3,4,4,2,1,39,4,3,2,2,2,2,3,NA,NA,4
144,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,61,3,3,2,3,3,1,3,NA,NA,3
145,1,2,2,2,4,3,4,5,1,3,2,2,2,4,5,1,1,69,1,1,1,4,5,1,1,1,NA,NA
146,2,2,2,2,2,4,2,2,2,2,4,2,2,2,4,2,1,23,4,4,3,2,2,1,2,NA,6,NA
147,4,4,2,2,2,2,1,4,2,4,4,4,4,1,5,2,1,65,2,1,2,4,4,1,3,NA,NA,5
148,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,28,1,1,1,1,5,2,2,NA,6,NA
149,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,41,1,1,1,5,5,2,2,NA,7,NA
150,4,3,1,1,1,1,1,1,1,4,4,1,1,4,4,1,1,28,3,2,3,2,3,2,2,NA,7,NA
151,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,2,1,35,1,1,1,4,5,2,3,NA,NA,4
152,2,4,2,2,2,4,4,4,2,5,4,4,3,2,5,1,1,37,1,1,1,4,5,2,2,NA,7,NA
153,5,1,3,3,1,5,3,5,5,5,3,4,4,3,5,1,1,33,5,1,1,5,5,1,3,NA,NA,4
154,2,1,4,2,2,1,1,2,1,2,2,2,1,1,4,1,1,18,2,1,3,2,1,2,3,NA,NA,3
155,2,3,3,1,2,2,2,1,1,5,3,3,2,2,3,1,1,61,1,1,1,4,5,1,3,NA,NA,5
156,4,5,5,4,5,5,4,5,4,5,4,4,5,5,4,1,1,30,1,1,1,4,1,2,2,NA,7,NA
157,2,2,3,1,1,3,2,5,3,3,4,3,5,3,5,2,1,33,5,3,3,3,1,1,2,NA,7,NA
158,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,44,5,4,5,2,1,2,1,2,NA,NA
159,5,3,4,3,5,4,5,3,5,4,4,5,3,5,4,2,1,51,5,4,4,4,5,1,2,NA,6,NA
160,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,46,3,3,1,1,1,1,2,NA,7,NA
161,5,5,5,2,3,5,5,2,3,3,5,4,4,5,5,1,1,25,4,4,5,2,5,2,2,NA,6,NA
162,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,35,1,1,1,4,5,2,2,NA,6,NA
163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,24,3,3,3,3,3,1,2,NA,6,NA
164,2,3,2,1,1,3,2,2,1,2,2,2,2,1,3,2,1,35,4,4,3,2,2,1,2,NA,7,NA
165,2,4,2,2,2,2,4,4,4,4,4,4,4,5,4,2,1,31,2,5,2,2,5,1,1,1,NA,NA
166,3,4,1,3,4,3,3,1,1,3,4,4,1,1,5,1,1,41,1,1,1,4,4,2,1,2,NA,NA
167,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,51,3,2,4,2,2,1,2,NA,7,NA
168,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,46,1,1,3,1,3,1,1,1,NA,NA
169,4,4,2,2,2,4,4,2,2,4,4,4,3,4,4,2,1,23,3,2,3,2,3,2,2,NA,6,NA
170,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,1,43,4,1,1,2,1,2,3,NA,NA,4
171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,1,1,1,4,4,1,1,2,NA,NA
172,2,3,2,2,2,3,2,2,1,1,2,2,3,2,2,1,1,25,2,2,2,2,2,2,1,1,NA,NA
173,4,3,2,3,4,4,3,3,2,3,3,4,3,2,2,1,1,34,3,2,4,3,3,1,1,2,NA,NA
174,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,26,1,2,2,4,4,1,2,NA,7,NA
175,1,1,1,3,1,1,1,3,1,1,1,1,3,2,1,2,1,43,3,3,3,2,3,2,3,NA,NA,3
176,4,5,3,5,5,4,5,3,3,4,4,5,4,5,5,2,1,43,1,1,1,2,5,2,3,NA,NA,5
177,3,4,1,3,5,1,2,3,1,2,2,3,1,3,5,1,1,28,1,1,1,5,5,1,3,NA,NA,4
178,1,1,1,1,2,1,1,1,1,3,1,1,1,1,2,1,1,33,1,1,1,5,5,2,2,NA,7,NA
179,2,3,2,3,2,5,4,2,3,2,4,3,2,2,4,2,1,52,5,2,3,2,5,1,1,1,NA,NA
180,5,5,2,5,3,5,5,3,3,4,5,5,3,5,5,2,1,27,2,4,4,2,1,1,3,NA,NA,4
181,2,4,1,4,4,2,3,1,2,2,2,4,1,4,4,2,1,70,1,1,1,4,5,1,1,1,NA,NA
182,3,3,3,3,4,3,3,4,3,4,3,3,3,3,4,2,1,26,3,3,3,4,3,2,2,NA,6,NA
183,3,2,2,4,4,2,2,2,2,3,2,2,2,4,3,1,1,31,4,2,3,1,2,2,1,2,NA,NA
184,3,3,2,5,4,3,3,2,4,5,3,3,1,4,5,1,1,26,3,3,4,2,3,1,2,NA,6,NA
185,2,1,1,1,3,1,1,1,1,2,3,2,1,2,4,2,1,42,2,1,2,4,4,1,2,NA,7,NA
186,4,2,4,3,3,2,4,3,2,1,3,2,1,2,2,1,1,42,2,2,4,1,2,1,1,1,NA,NA
187,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,63,1,1,1,4,5,2,2,NA,6,NA
188,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,46,1,1,1,5,5,1,2,NA,7,NA
189,4,4,2,3,2,4,3,2,3,5,4,3,2,3,5,1,1,40,2,2,2,4,4,1,2,NA,7,NA
190,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,43,1,1,3,3,3,1,3,NA,NA,3
191,4,3,2,3,2,2,2,3,4,4,4,2,3,2,4,1,1,55,1,1,1,4,5,1,1,2,NA,NA
192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,1,1,1,5,5,2,2,NA,7,NA
193,4,4,4,4,4,4,3,3,5,3,4,4,4,3,4,2,1,34,4,3,5,4,3,1,1,1,NA,NA
194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60,1,2,1,4,4,1,2,NA,7,NA
195,4,4,3,3,3,4,5,3,3,5,4,4,3,4,5,1,1,34,1,1,1,5,5,1,2,NA,7,NA
196,3,3,2,3,4,3,4,2,2,4,2,4,2,4,4,1,1,35,2,2,2,2,2,2,3,NA,NA,3
197,2,3,1,2,3,2,2,1,1,3,1,2,1,1,4,2,1,51,1,1,2,4,5,1,3,NA,NA,5
198,4,4,4,4,3,3,4,4,4,3,4,4,5,4,5,2,1,34,3,3,3,1,5,2,3,NA,NA,5
199,2,4,2,4,4,2,4,5,2,2,3,4,4,2,4,2,1,70,2,1,2,2,4,2,1,2,NA,NA
200,2,1,1,1,1,2,1,2,2,4,4,1,1,1,2,1,1,60,1,1,1,4,5,2,2,NA,7,NA
201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,46,1,1,1,2,4,2,3,NA,NA,3
202,2,2,1,4,4,2,2,1,4,4,3,2,1,4,4,1,1,68,1,1,1,4,5,1,2,NA,6,NA
203,2,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,45,2,2,2,2,3,1,2,NA,6,NA
204,2,2,2,3,2,1,1,3,2,1,2,2,1,3,4,1,1,48,1,1,1,4,4,1,1,1,NA,NA
205,1,1,1,1,2,1,1,2,1,2,1,1,2,1,3,2,1,51,4,3,4,2,2,1,1,2,NA,NA
206,1,2,1,1,4,2,4,1,1,3,4,1,4,4,5,1,1,50,1,2,1,4,5,2,1,2,NA,NA
207,1,2,2,1,1,1,1,4,1,4,2,4,2,1,4,1,1,62,1,1,1,1,4,1,2,NA,6,NA
208,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,1,65,1,1,1,3,4,2,1,2,NA,NA
209,1,1,1,2,2,2,1,2,2,4,2,2,2,4,5,2,1,40,2,2,2,2,2,2,3,NA,NA,5
210,1,1,1,1,1,1,2,1,1,2,3,2,1,1,4,2,1,65,4,3,3,2,2,1,1,2,NA,NA
211,3,1,2,1,1,3,1,2,1,4,2,2,2,1,3,2,1,23,2,2,2,4,4,1,2,NA,7,NA
212,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,68,1,1,1,5,5,1,3,NA,NA,4
213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,38,1,1,1,2,5,2,3,NA,NA,5
214,3,3,3,2,2,2,2,3,2,4,2,3,3,2,3,1,1,35,2,1,3,4,4,1,2,NA,7,NA
215,4,5,3,4,5,4,3,4,2,5,4,2,3,4,5,2,1,49,2,1,1,5,4,1,1,1,NA,NA
216,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,2,1,67,1,1,3,2,4,1,2,NA,7,NA
217,4,1,1,1,1,1,1,1,1,3,4,1,1,1,5,2,1,30,5,2,4,3,1,2,2,NA,6,NA
218,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,53,1,1,2,2,4,1,1,2,NA,NA
219,1,2,2,1,1,2,1,4,1,3,2,1,1,1,4,1,1,25,1,1,1,4,4,2,2,NA,6,NA
220,2,3,1,2,3,2,3,3,2,3,3,3,2,4,4,1,1,53,2,2,2,4,5,2,1,1,NA,NA
221,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,1,28,1,2,3,2,3,1,2,NA,7,NA
222,2,2,3,2,2,4,2,3,2,5,4,3,2,4,4,2,1,38,4,3,4,2,1,1,2,NA,7,NA
223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,56,1,1,1,1,5,1,2,NA,6,NA
224,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,76,1,1,1,4,5,2,1,1,NA,NA
225,3,2,1,2,4,3,2,2,2,3,5,2,1,3,4,1,1,53,4,4,1,4,2,2,3,NA,NA,3
226,4,2,1,2,3,4,1,3,1,3,3,2,2,1,3,2,1,49,2,2,2,4,4,1,3,NA,NA,3
227,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,57,2,2,2,4,4,1,1,1,NA,NA
228,3,3,2,4,4,5,3,5,4,3,2,3,3,4,4,2,1,62,2,1,1,4,4,2,3,NA,NA,4
